trojkat mozna zbudowac w 48306 wierszach
2 92 89 77 trojkat jest ostrokatny, pole = 3150.85, obwod = 258
7 75 65 35 trojkat jest rozwartokatny, pole = 1136.66, obwod = 175
9 18 69 78 trojkat jest rozwartokatny, pole = 568.56, obwod = 165
10 5 56 60 trojkat jest rozwartokatny, pole = 86.92, obwod = 121
12 77 64 58 trojkat jest ostrokatny, pole = 1816.11, obwod = 199
16 54 86 89 trojkat jest ostrokatny, pole = 2243.74, obwod = 229
17 79 85 72 trojkat jest ostrokatny, pole = 2643.07, obwod = 236
18 56 38 34 trojkat jest rozwartokatny, pole = 631.95, obwod = 128
19 38 71 42 trojkat jest rozwartokatny, pole = 653.31, obwod = 151
22 10 20 16 trojkat jest rozwartokatny, pole = 79.24, obwod = 46
23 24 33 47 trojkat jest rozwartokatny, pole = 371.91, obwod = 104
26 73 28 77 trojkat jest ostrokatny, pole = 1020.96, obwod = 178
27 38 62 51 trojkat jest ostrokatny, pole = 967.7, obwod = 151
29 86 55 40 trojkat jest rozwartokatny, pole = 854.46, obwod = 181
31 66 31 40 trojkat jest rozwartokatny, pole = 427.81, obwod = 137
34 95 69 62 trojkat jest rozwartokatny, pole = 2136.42, obwod = 226
35 84 95 41 trojkat jest rozwartokatny, pole = 1720.49, obwod = 220
37 81 52 62 trojkat jest rozwartokatny, pole = 1612.0, obwod = 195
38 86 70 59 trojkat jest ostrokatny, pole = 2050.26, obwod = 215
39 56 36 54 trojkat jest ostrokatny, pole = 934.04, obwod = 146
43 67 60 43 trojkat jest ostrokatny, pole = 1267.48, obwod = 170
44 39 82 78 trojkat jest ostrokatny, pole = 1504.97, obwod = 199
46 11 30 36 trojkat jest rozwartokatny, pole = 149.99, obwod = 77
55 61 25 50 trojkat jest rozwartokatny, pole = 606.98, obwod = 136
57 84 59 90 trojkat jest ostrokatny, pole = 2401.94, obwod = 233
59 23 47 55 trojkat jest rozwartokatny, pole = 535.72, obwod = 125
60 47 32 19 trojkat jest rozwartokatny, pole = 223.56, obwod = 98
64 70 75 18 trojkat jest rozwartokatny, pole = 621.97, obwod = 163
66 96 72 83 trojkat jest ostrokatny, pole = 2901.38, obwod = 251
67 39 44 30 trojkat jest ostrokatny, pole = 572.3, obwod = 113
69 90 93 61 trojkat jest ostrokatny, pole = 2627.96, obwod = 244
72 59 76 55 trojkat jest ostrokatny, pole = 1612.2, obwod = 190
73 58 41 69 trojkat jest ostrokatny, pole = 1186.88, obwod = 168
75 49 76 47 trojkat jest rozwartokatny, pole = 1113.99, obwod = 172
76 41 16 34 trojkat jest rozwartokatny, pole = 263.56, obwod = 91
78 91 66 90 trojkat jest ostrokatny, pole = 2780.55, obwod = 247
85 60 93 84 trojkat jest ostrokatny, pole = 2469.54, obwod = 237
87 7 33 28 trojkat jest rozwartokatny, pole = 74.22, obwod = 68
89 90 58 41 trojkat jest rozwartokatny, pole = 911.27, obwod = 189
91 76 59 73 trojkat jest ostrokatny, pole = 2015.5, obwod = 208
94 62 92 83 trojkat jest ostrokatny, pole = 2509.69, obwod = 237
96 6 15 13 trojkat jest rozwartokatny, pole = 38.68, obwod = 34
97 86 32 64 trojkat jest rozwartokatny, pole = 851.36, obwod = 182
99 87 66 39 trojkat jest rozwartokatny, pole = 1215.5, obwod = 192
101 72 18 86 trojkat jest rozwartokatny, pole = 443.98, obwod = 176
104 61 48 48 trojkat jest ostrokatny, pole = 1130.46, obwod = 157
107 50 76 60 trojkat jest ostrokatny, pole = 1497.81, obwod = 186
108 27 65 91 trojkat jest rozwartokatny, pole = 279.64, obwod = 183
110 53 21 43 trojkat jest rozwartokatny, pole = 432.45, obwod = 117
111 64 10 73 trojkat jest rozwartokatny, pole = 148.89, obwod = 147
